FID,OBJECTID,NAME,ADMIN_ORG,REGION,STATE,COMMENTS,NO_MAP,LABELS,URL,LATITUDE,LONGITUDE,x,y
78,130,Warburton Men Rangers,Desert Support Services,WA - Central and Southern region,WA, ,17,17 Warburton Men Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/western-desert-martu-ranger-programme,-25.97205806,126.60590582,14093704.9667805,-2995620.62590016
79,86,Gunggandji Rangers,Gunggandji Prescribed Body Corporate Aboriginal Corporation,Qld - Mainland northern region,QLD, ,29,29 Gunggandji Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/gunggandji-land-and-sea-rangers,-16.924136,145.896378,16241110.5075591,-1911995.80954429
80,87,Goldfields Land Management Rangers,Goldfields Land and Sea Council,WA - Central and Southern region,WA,Added January 2017,22,22 Goldfields Land Management Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/goldfields-land-management-rangers,-30.74639001,121.4663201,13521568.9020528,-3599856.67239562
81,88,Wagiman Rangers,Northern Land Council,NT - Top End region,NT, ,11,11 Wagiman Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/wagiman-guwardagun-rangers,-13.8227,131.8344,14675738.2770545,-1553883.19344846
82,89,Warnbi Rangers,Warnbi Aboriginal Corporation,NT - Top End region,NT, ,18,18 Warnbi Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/warnbi-rangers,-12.66180186,132.8137449,14784758.4526165,-1421120.00798842
83,90,Werenbun Rangers,Werenbun Aboriginal Corporation,NT - Top End region,NT, ,19,19 Werenbun Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/werenbun-rangers,-13.138962,132.2644,14723605.65804,-1475612.81590092
84,91,Crocodile Islands Rangers,Milingimbi and Outstations Progress Resource Aboriginal Corporation,NT - Arnhem Land region,NT, ,20,20 Crocodile Islands Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/crocodile-islands-rangers,-11.9,134.91667,15018855.0039375,-1334329.86971592
85,92,Yirralka Rangers,Laynhapuy Homelands Aboriginal Corporation,NT - Arnhem Land region,NT,Moved to Laynhapuy IPA - August 2020,21,21 Yirralka Rangers,https://www.niaa.gov.au/laynhapuy-ipa-and-yirralka-rangers,-13.2004,136.2261,15164620.084733,-1482636.79666888
86,93,Warddeken Rangers,Warddeken Land Management Limited,NT - Arnhem Land region,NT,Previously Manwurrk,24,24 Warddeken Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/warddeken-ipa-and-rangers,-12.75,133.83333,14898258.1467547,-1431184.6449525
87,94,Garngi Land and Sea Management Rangers,Northern Land Council,NT - Arnhem Land region,NT, ,25,25 Garngi Land and Sea Management Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/garngi-rangers,-11.1507,132.5786,14758582.2420951,-1249201.02746803
88,95,Gumurr Marthakal Rangers,Marthakal Homelands and Resource Centre Aboriginal Corporation and Northern Land Council,NT - Arnhem Land region,NT, ,26,26 Gumurr Marthakal Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/marthakal-ipa-and-gumurr-marthakal-rangers,-12.0235,135.5664,15091182.6166617,-1348382.97630585
89,96,Arafura Swamp Ranger Groups,Arafura Swamp Rangers Aboriginal Corporation,NT - Arnhem Land region,NT,Note: Three groups,28,28 Arafura Swamp Ranger Groups,https://www.niaa.gov.au/indigenous-affairs/environment/arafura-swamp-rangers,-12.575,135.0357,15032105.362886,-1411218.10402994
90,97,Mardbalk Land and Sea Management Rangers,Northern Land Council,NT - Arnhem Land region,NT, ,29,29 Mardbalk Land and Sea Management Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/mardbalk-marine-rangers,-11.65001389,133.386125,14848475.5139067,-1305903.32519682
91,98,Mimal Rangers,Mimal Land Management Aboriginal Corporation,NT - Arnhem Land region,NT, ,30,30 Mimal Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/mimal-rangers,-13.66529167,134.3333472,14953919.8068838,-1535844.05698076
92,1,Numbulwar Numburindi Land and Sea Management Rangers,Northern Land Council,NT - Arnhem Land region,NT, ,31,31 Numbulwar Numburindi Land and Sea Management Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/numbulwar-numburindi-amalahgayag-injung-rangers,-14.2791,135.7406,15110574.4720168,-1606256.54865865
93,2,Njanjma Rangers,Njanjma Aboriginal Corporation,NT - Arnhem Land region,NT, ,33,33 Njanjma Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/njanjma-rangers,-12.388797,132.971821,14802355.4035342,-1389988.29016469
94,3,Anindilyakwa Rangers,Anindilyakwa Land Council,NT - Arnhem Land region,NT, ,17,17 Anindilyakwa Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/anindilyakwa-ipa-and-rangers,-13.8506,136.4191,15186104.7465173,-1557081.82678179
95,4,Dhimurru Rangers,Dhimurru Aboriginal Corporation,NT - Arnhem Land region,NT, ,22,22 Dhimurru Rangers,https://www.niaa.gov.au/dhimurru-ipa-and-rangers,-12.187,136.7763,15225868.0685708,-1366997.63486158
96,5,Bawinanga Rangers,Bawinanga Aboriginal Corporation,NT - Arnhem Land region,NT, ,23,23 Bawinanga Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/djelk-ipa-and-bawinanga-rangers,-12.05084722,134.223625,14941705.58746,-1351495.69582497
97,6,Jawoyn Rangers,Jawoyn Association Aboriginal Corporation,NT - Top End region,NT, ,32,32 Jawoyn Rangers,https://www.niaa.gov.au/jawoyn-rangers,-14.46676,132.266768,14723869.2626369,-1627821.75392468
98,128,milythina pakana Rangers (3 groups incl. 1a & 1b),Aboriginal Land Council of Tasmania,TAS,TAS,"Note: Three groups, Previously Tasmanian Aboriginal Centre Rangers - milaythina pakana",1,1 milythina pakana Rangers (3 groups incl. 1a & 1b),https://www.niaa.gov.au/tasmanian-aboriginal-trainee-rangers,-42.810464,147.327684,16443932.6160524,-4911417.07300901
99,7,truwana Rangers,Aboriginal Land Council of Tasmania,TAS,TAS,Added 2016,3,3 truwana Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/truwana-rangers,-40.402,147.991,16474282.7619595,-4924532.94578149
100,100,lamalgal Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD, ,11,11 lamalgal Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.90139,142.77499,15893639.1848468,-1107745.10413746
101,101,Erubam Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD, ,12,12 Erubam Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.59694,143.76334,16003661.8035115,-1073357.2313503
102,102,Malu Kiai Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD, ,13,13 Malu Kiai Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.26028,142.21361,15831146.6490734,-1035367.12683783
103,103,Mura Badhugal Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Previously Mura Badhugau Rangers (an prior to that Badagal),14,14 Mura Badhugal Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-10.11556,142.14471,15823476.7361538,-1131954.83657506
104,104,Mabuygiw Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD, ,15,15 Mabuygiw Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.95351,142.19223,15828766.6383283,-1113635.27055561
105,8,Warraberalgal Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Previously Warraber Rangers,16,16 Warraberalgal Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/warraberalgal-and-porumalgal-ipa,-10.206629,142.82777,15899514.6275149,-1142254.13036746
106,105,Mura Buway Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Previously Wugagal Rangers - Saibai,17,17 Mura Buway Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.389614,142.673982,15882395.0256742,-1049957.33083906
107,106,Masigalgal Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Previously Masig,18,18 Masigalgal Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.74462,143.43442,15967046.5966712,-1090033.88610749
108,107,Porumalgal Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,"Previously Poruma, then Porumalgal Rangers",19,19 Porumalgal Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/warraberalgal-and-porumalgal-ipa,-10.05018,143.06416,15925829.441999,-1124562.59886724
109,108,Mua Lagalgau Rangers - Kubin,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Previously Mualagal,20,20 Mua Lagalgau Rangers - Kubin,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-10.23323059,142.219,15831746.6611675,-1145263.14705357
110,109,Mua Lagalgau Rangers - St Pauls,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Added 2016,21,21 Mua Lagalgau Rangers - St Pauls,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-10.173537,142.267,15837089.9966589,-1138511.30735761
111,110,Ugaram Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Previously Ugar,22,22 Ugaram Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.5074,143.5475,15979634.6046391,-1063249.53907414
112,111,Meriam Gesep Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Previously Meriam Gesep A Gur Keparem Le Rangers,23,23 Meriam Gesep Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.91518,144.05164,16035755.2127455,-1109303.44341135
113,112,Simakal Rangers,Torres Strait Regional Authority,Qld - Torres Strait region,QLD,Previously Dauan,24,24 Simakal Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/torres-strait-islands-rangers,-9.423205,142.533023,15866703.541565,-1053747.62863928
114,9,Apudthama Land and Sea Rangers,Northern Peninsula Area Regional Council,Qld - Mainland northern region,QLD,Note: Two groups,26,26 Apudthama Land and Sea Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/apudthama-northern-peninsula-area-rangers,-10.89313131,142.3861832,15850357.4097989,-1219989.75870093
115,10,Budj Bim Rangers,Gunditj Mirring Traditional Owners Aboriginal Corporation and Winda Mara Aboriginal Corporation,VIC,VIC, ,1,1 Budj Bim Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/kurtonitj-ipa-and-budj-bim-rangers,-38.13430556,141.6254167,15765669.2704649,-4598416.09607655
116,11,Arabana Rangers,Arabana Aboriginal Corporation RNTBC,SA,SA,Added 2019,9,9 Arabana Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/arabana-rangers,-29.57909964,137.46435095,15302461.549997,-3449560.95150195
117,12,Bhewerre Rangers - Jervis Bay Territory,Wreck Bay Aboriginal Community Council,ACT,ACT,Added 14 August 2020,1,1 Bhewerre Rangers - Jervis Bay Territory,https://www.niaa.gov.au/indigenous-affairs/environment/wreck-bay-caring-country-rangers,-35.16640034,150.68984802,16774717.149043,-4186517.34143323
118,13,Tjaltjraak Rangers,Esperance Tjaltjraak Native Title Aboriginal Corporation,WA - Central and Southern region,WA,Added 14 August 2020,28,28 Tjaltjraak Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/esperance-tjaltjraak-cultural-rangers,-33.84308497,121.89516173,13569307.3336837,-4007751.58179277
